date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260212,normal,1,111588.77221679688,-3440.864794192698,-5223.5787733771585,-4534.962996040444,-5794.425032928724
20260212,stress,1,111588.77221679688,-5751.968078317601,-8074.580092122384,-7166.321936109835,-9135.442274253344
20260212,normal,10,111588.77221679688,-9229.603609613048,-12968.874433620236,-11926.005782615508,-16298.55682046917
20260212,stress,10,111588.77221679688,-18287.06385130496,-25677.90682718242,-23418.8339528736,-28930.481857077284
20260213,normal,1,112875.73120117188,-3180.1187373639314,-5009.749451384196,-4344.007461934266,-6160.179020717529
20260213,stress,1,112875.73120117188,-5814.2878051333255,-7808.809606812149,-7278.506240323344,-9904.865661657746
20260213,normal,10,112875.73120117188,-9201.46812796443,-14531.56395420238,-12414.227429138047,-16670.77806207032
20260213,stress,10,112875.73120117188,-17957.771088529662,-24395.317927987613,-22294.32176416314,-30335.60305552535
20260216,normal,1,111789.03979492188,-3242.168036828809,-5252.3577839901845,-4400.331609947525,-5905.545567121046
20260216,stress,1,111789.03979492188,-5680.995997585726,-7735.4771109341855,-7008.92160045063,-8484.668823256761
20260216,normal,10,111789.03979492188,-9642.114371386968,-15600.06641990895,-12913.018137927298,-17626.877170390544
20260216,stress,10,111789.03979492188,-18529.836691512497,-24195.993104759506,-22082.07709874582,-27305.16204669047
20260217,normal,1,111255.77954101562,-3646.183256930969,-5308.336118028313,-4626.341232159999,-6226.606112891222
20260217,stress,1,111255.77954101562,-6054.7082544764635,-8511.488130896907,-7414.724243260455,-9363.509099939396
20260217,normal,10,111255.77954101562,-9093.747898145884,-13931.55288178329,-12003.990980014523,-15789.080665746587
20260217,stress,10,111255.77954101562,-18444.08303693027,-25314.33805221865,-22350.5239591745,-27260.64208021174
20260218,normal,1,113567.90869140624,-3376.1621655818735,-5113.689564913472,-4407.070602760047,-5546.487346599982
20260218,stress,1,113567.90869140624,-5737.88662788073,-8026.9826525776925,-6966.406273924076,-8664.423893535757
20260218,normal,10,113567.90869140624,-9124.33951072766,-13390.787122729718,-12001.028695743697,-16629.28804274476
20260218,stress,10,113567.90869140624,-17747.765253212776,-26227.47135726145,-23542.09843581632,-29381.658642468246
20260219,normal,1,114815.03247070312,-3455.515212768565,-5044.00749665723,-4441.802155083944,-5714.277109583151
20260219,stress,1,114815.03247070312,-5809.229379729571,-7565.759213909759,-7069.946264471929,-8859.739728694776
20260219,normal,10,114815.03247070312,-8978.140442101278,-13095.405995235147,-11855.21082024879,-15354.45754056454
20260219,stress,10,114815.03247070312,-19280.30203418914,-26667.914031054548,-23843.52866621489,-29586.438875553635
20260220,normal,1,114067.66479492188,-3782.987810081519,-5351.446135041462,-4615.7231415355955,-5823.3507685902105
20260220,stress,1,114067.66479492188,-5699.477512334949,-7945.43777351806,-7271.6928261843905,-9482.29737233072
20260220,normal,10,114067.66479492188,-8815.993305372736,-13795.969262237504,-11446.244816150209,-14985.366420254348
20260220,stress,10,114067.66479492188,-19640.64038005029,-25120.785075218013,-23165.37136089667,-28968.15100498188
20260223,normal,1,114067.66479492188,-3338.497264589161,-4533.711054946549,-4161.923964500762,-4960.881388959865
20260223,stress,1,114067.66479492188,-6065.082476977964,-8399.261228662914,-7581.728267742707,-9790.777895404372
20260223,normal,10,114067.66479492188,-9291.697732408256,-14460.51145692073,-12668.742852631143,-18128.95395266853
20260223,stress,10,114067.66479492188,-18127.99022694573,-25341.651115076325,-22301.85943279938,-28402.933672198513
20260224,normal,1,113630.06958007812,-3257.524332168175,-4884.950204476126,-4180.534151841474,-5454.693636165257
20260224,stress,1,113630.06958007812,-5942.532761193987,-8058.761636957584,-7370.2415884750735,-9440.327420111133
20260224,normal,10,113630.06958007812,-9928.717592264038,-15332.686775585771,-13231.511594764454,-17064.273953589738
20260224,stress,10,113630.06958007812,-18568.754055570793,-24706.642473182277,-22999.352536679056,-28996.174168524092
20260225,normal,1,115089.99926757812,-3718.035428011775,-4970.33489390439,-4657.3563210924085,-6434.821185194269
20260225,stress,1,115089.99926757812,-5990.468422347584,-8391.413700913443,-7538.724945283596,-9431.460642377036
20260225,normal,10,115089.99926757812,-9456.267546744148,-15056.68554317632,-12858.219648659382,-16822.66816118687
20260225,stress,10,115089.99926757812,-19541.488101814382,-26353.68717880019,-24166.739059862022,-31083.959979395167
20260226,normal,1,116008.22534179688,-3553.8131333773995,-4836.299302867726,-4434.354759986982,-5800.9119784096165
20260226,stress,1,116008.22534179688,-6032.632328854891,-8932.835628351757,-7712.985775209815,-9570.13590910352
20260226,normal,10,116008.22534179688,-9456.105515211437,-13573.321553363465,-12046.11290094784,-16479.658961074154
20260226,stress,10,116008.22534179688,-18594.93881393179,-27304.488589032982,-23054.54948001385,-30175.309774104935
20260227,normal,1,115849.15063476562,-3819.833124402619,-5316.199195827477,-4863.513890682257,-6107.948883148754
20260227,stress,1,115849.15063476562,-5784.1501818565675,-7653.532494761997,-7064.635859276502,-9299.329836758136
